         1163481 function calls in 0.938 seconds

   Ordered by: cumulative time
   List reduced from 77 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.938    0.938 /home/areddy/netket/results/lx4_ly3_nf4_t1_1.00_t2_-0.31_m_0.00_phi_0.65_V1_1.00_bloch_ed_perf_20260221_154232/run_ed_benchmark_profile.py:57(run_legacy_sector_loop)
       12    0.005    0.000    0.938    0.078 /home/areddy/netket/aidan_custom/bloch_ed/workflow.py:19(solve_projected_sector)
       12    0.005    0.000    0.928    0.077 /home/areddy/netket/aidan_custom/bloch_ed/many_body.py:776(build_many_body_hamiltonian_dense)
       12    0.004    0.000    0.524    0.044 /home/areddy/netket/aidan_custom/bloch_ed/many_body.py:566(prepare_many_body_operator_data)
       12    0.340    0.028    0.400    0.033 /home/areddy/netket/aidan_custom/bloch_ed/many_body.py:629(_accumulate_many_body_entries)
       12    0.185    0.015    0.325    0.027 /home/areddy/netket/aidan_custom/bloch_ed/interactions.py:121(extract_nonzero_quartic_terms)
       12    0.185    0.015    0.192    0.016 /home/areddy/netket/aidan_custom/bloch_ed/many_body.py:537(_group_quartic_terms)
       12    0.131    0.011    0.131    0.011 /home/areddy/netket/aidan_custom/bloch_ed/interactions.py:10(make_quartic_term_list)
   628900    0.036    0.000    0.036    0.000 {method 'bit_count' of 'int' objects}
   277720    0.022    0.000    0.022    0.000 {method 'get' of 'dict' objects}
   245136    0.014    0.000    0.014    0.000 {method 'append' of 'list' objects}
       12    0.000    0.000    0.004    0.000 /home/areddy/netket/aidan_custom/bloch_ed/many_body.py:832(diagonalize_many_body_hamiltonian)
       12    0.004    0.000    0.004    0.000 /home/areddy/netket/.venv/lib/python3.11/site-packages/numpy/linalg/_linalg.py:1536(eigh)
       24    0.000    0.000    0.002    0.000 /home/areddy/netket/.venv/lib/python3.11/site-packages/numpy/_core/numeric.py:625(argwhere)
       48    0.000    0.000    0.002    0.000 /home/areddy/netket/.venv/lib/python3.11/site-packages/numpy/_core/fromnumeric.py:51(_wrapfunc)
       12    0.000    0.000    0.002    0.000 /home/areddy/netket/aidan_custom/bloch_ed/many_body.py:663(<listcomp>)
       24    0.000    0.000    0.002    0.000 /home/areddy/netket/.venv/lib/python3.11/site-packages/numpy/_core/fromnumeric.py:2018(nonzero)
       12    0.001    0.000    0.002    0.000 /home/areddy/netket/aidan_custom/bloch_ed/many_body.py:553(_group_quartic_annihilation_targets)
       24    0.002    0.000    0.002    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
     2475    0.001    0.000    0.001    0.000 /home/areddy/netket/aidan_custom/bloch_ed/many_body.py:355(iter_occupied_orbitals)
       12    0.000    0.000    0.001    0.000 /home/areddy/netket/aidan_custom/bloch_ed/many_body.py:525(_group_one_body_terms)
       24    0.000    0.000    0.001    0.000 /home/areddy/netket/aidan_custom/bloch_ed/many_body.py:463(build_fock_basis)
       12    0.000    0.000    0.001    0.000 /home/areddy/netket/aidan_custom/bloch_ed/many_body.py:560(<dictcomp>)
      144    0.000    0.000    0.001    0.000 {built-in method builtins.sorted}
       24    0.000    0.000    0.000    0.000 /home/areddy/netket/.venv/lib/python3.11/site-packages/numpy/_core/fromnumeric.py:629(transpose)
       24    0.000    0.000    0.000    0.000 /home/areddy/netket/.venv/lib/python3.11/site-packages/numpy/_core/fromnumeric.py:41(_wrapit)
       24    0.000    0.000    0.000    0.000 /home/areddy/netket/aidan_custom/bloch_ed/many_body.py:514(<dictcomp>)
     1872    0.000    0.000    0.000    0.000 /home/areddy/netket/aidan_custom/bloch_ed/many_body.py:561(<genexpr>)
      554    0.000    0.000    0.000    0.000 /home/areddy/netket/.venv/lib/python3.11/site-packages/jax/_src/lib/__init__.py:124(_xla_gc_callback)
     1980    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}


