label,step,time_unix_s,process_gpu_memory_mib,bytes_in_use,peak_bytes_in_use,bytes_limit,num_allocs,energy_mean_real
startup,,1771692286.587671,18392.0,6656.0,6912.0,19063701504.0,51.0,
after_hamiltonian,,1771692297.707393,18398.0,15616.0,16809728.0,19063701504.0,440.0,
after_model,,1771692298.374010,18442.0,16896.0,16809728.0,19063701504.0,486.0,
after_vstate_init,,1771692308.829156,18442.0,188160.0,33722368.0,19063701504.0,1247.0,
after_resume_load,,1771692308.887239,18442.0,46080.0,33722368.0,19063701504.0,1247.0,
after_driver_init,,1771692309.203823,18442.0,46080.0,33722368.0,19063701504.0,1332.0,
before_run,,1771692309.241435,18442.0,46080.0,33722368.0,19063701504.0,1332.0,
after_step_0,0,1771692360.834112,18454.0,346112.0,3251618304.0,19063701504.0,2173.0,
after_step_1,1,1771692394.285247,18456.0,571648.0,3251829248.0,19063701504.0,2409.0,
after_step_2,2,1771692406.431481,18462.0,579840.0,3251922176.0,19063701504.0,2603.0,
after_run,,1771692406.495160,18462.0,376576.0,3251922176.0,19063701504.0,2646.0,
