t_since_run_start_s,time_unix_s,process_gpu_memory_mib
0.072057,1771692309.313490,18442.0
0.442898,1771692309.684332,18442.0
0.701221,1771692309.942654,18442.0
0.957070,1771692310.198504,18442.0
1.234600,1771692310.476033,18442.0
1.471956,1771692310.713390,18442.0
1.728337,1771692310.969770,18442.0
2.006884,1771692311.248318,18442.0
2.284248,1771692311.525682,18442.0
2.543443,1771692311.784877,18442.0
2.782207,1771692312.023641,18442.0
3.184987,1771692312.426421,18450.0
3.568689,1771692312.810123,18450.0
3.822896,1771692313.064330,18450.0
4.101749,1771692313.343183,18450.0
4.360696,1771692313.602130,18450.0
4.639780,1771692313.881214,18450.0
4.915590,1771692314.157024,18450.0
5.172985,1771692314.414419,18450.0
5.427413,1771692314.668846,18450.0
5.685031,1771692314.926465,18450.0
5.939112,1771692315.180546,18450.0
6.197205,1771692315.438638,18450.0
6.432290,1771692315.673724,18450.0
6.670558,1771692315.911992,18450.0
6.926934,1771692316.168368,18450.0
7.164135,1771692316.405569,18450.0
7.419123,1771692316.660557,18450.0
7.675689,1771692316.917123,18450.0
7.949919,1771692317.191352,18450.0
8.358861,1771692317.600295,18450.0
8.616638,1771692317.858072,18450.0
8.877644,1771692318.119077,18450.0
9.155936,1771692318.397370,18450.0
9.414439,1771692318.655873,18450.0
9.671584,1771692318.913018,18450.0
9.910203,1771692319.151637,18450.0
10.148255,1771692319.389689,18450.0
10.383441,1771692319.624875,18450.0
10.638947,1771692319.880381,18450.0
10.914888,1771692320.156322,18450.0
11.170162,1771692320.411596,18450.0
11.428015,1771692320.669449,18450.0
11.684733,1771692320.926167,18450.0
12.076218,1771692321.317652,18450.0
12.672932,1771692321.914366,18450.0
12.946302,1771692322.187736,18450.0
13.222801,1771692322.464235,18450.0
13.499056,1771692322.740490,18450.0
13.756786,1771692322.998220,18450.0
13.995743,1771692323.237177,18450.0
14.251719,1771692323.493153,18450.0
14.506460,1771692323.747894,18450.0
14.764660,1771692324.006094,18450.0
15.002016,1771692324.243450,18450.0
15.279184,1771692324.520618,18450.0
15.555678,1771692324.797112,18450.0
15.812268,1771692325.053702,18450.0
16.051256,1771692325.292690,18450.0
16.307890,1771692325.549324,18450.0
16.546964,1771692325.788398,18450.0
16.786980,1771692326.028414,18450.0
17.043645,1771692326.285079,18450.0
17.300893,1771692326.542327,18450.0
17.559874,1771692326.801308,18450.0
17.798044,1771692327.039478,18450.0
18.034403,1771692327.275837,18450.0
18.272751,1771692327.514185,18450.0
18.528399,1771692327.769833,18450.0
18.767702,1771692328.009136,18450.0
19.003415,1771692328.244848,18450.0
19.239421,1771692328.480855,18450.0
19.495508,1771692328.736942,18450.0
19.753308,1771692328.994741,18450.0
19.991776,1771692329.233210,18450.0
20.230765,1771692329.472199,18450.0
20.488637,1771692329.730071,18450.0
20.727525,1771692329.968959,18450.0
20.985197,1771692330.226631,18450.0
21.220435,1771692330.461869,18450.0
21.456759,1771692330.698193,18450.0
21.715099,1771692330.956533,18452.0
21.976331,1771692331.217765,18452.0
22.235755,1771692331.477189,18452.0
22.491702,1771692331.733135,18452.0
22.730980,1771692331.972414,18452.0
23.558661,1771692332.800095,18452.0
24.340170,1771692333.581604,18452.0
25.201569,1771692334.443003,18452.0
25.527235,1771692334.768669,18452.0
25.804741,1771692335.046175,18452.0
26.083181,1771692335.324615,18452.0
26.323120,1771692335.564554,18452.0
26.581281,1771692335.822715,18452.0
26.861864,1771692336.103298,18452.0
27.123095,1771692336.364529,18452.0
27.376872,1771692336.618306,18452.0
27.631644,1771692336.873078,18452.0
27.907653,1771692337.149087,18452.0
28.146408,1771692337.387841,18452.0
28.407601,1771692337.649035,18452.0
28.664930,1771692337.906363,18452.0
28.938135,1771692338.179569,18452.0
29.197094,1771692338.438528,18452.0
29.434393,1771692338.675827,18452.0
29.671883,1771692338.913317,18452.0
29.910828,1771692339.152262,18452.0
30.168863,1771692339.410297,18452.0
30.443157,1771692339.684591,18452.0
30.680420,1771692339.921854,18452.0
30.918932,1771692340.160366,18452.0
31.194593,1771692340.436027,18452.0
31.431868,1771692340.673302,18452.0
31.687515,1771692340.928948,18452.0
31.944690,1771692341.186124,18452.0
32.219864,1771692341.461298,18452.0
32.457541,1771692341.698975,18452.0
32.696153,1771692341.937587,18452.0
32.935325,1771692342.176759,18452.0
33.211590,1771692342.453024,18452.0
33.468695,1771692342.710129,18452.0
33.724853,1771692342.966287,18452.0
33.980802,1771692343.222236,18452.0
34.240387,1771692343.481821,18452.0
34.496659,1771692343.738093,18452.0
34.735204,1771692343.976638,18452.0
34.972875,1771692344.214309,18452.0
35.211230,1771692344.452664,18452.0
35.487092,1771692344.728526,18452.0
35.727872,1771692344.969306,18452.0
35.964854,1771692345.206288,18452.0
36.201336,1771692345.442770,18452.0
36.437120,1771692345.678554,18452.0
36.694436,1771692345.935870,18452.0
36.950184,1771692346.191618,18452.0
37.209325,1771692346.450758,18452.0
37.446378,1771692346.687812,18452.0
37.722597,1771692346.964031,18452.0
37.959998,1771692347.201432,18452.0
38.214833,1771692347.456267,18452.0
38.451564,1771692347.692997,18452.0
38.687482,1771692347.928916,18452.0
38.942806,1771692348.184240,18452.0
39.179755,1771692348.421189,18452.0
39.415124,1771692348.656558,18452.0
39.651663,1771692348.893097,18452.0
39.906902,1771692349.148335,18454.0
40.164916,1771692349.406350,18454.0
40.404158,1771692349.645592,18454.0
40.679251,1771692349.920685,18454.0
40.913321,1771692350.154754,18454.0
41.170065,1771692350.411499,18454.0
41.425144,1771692350.666578,18454.0
41.676967,1771692350.918401,18454.0
41.912023,1771692351.153457,18454.0
42.146419,1771692351.387852,18454.0
42.401093,1771692351.642527,18454.0
42.658211,1771692351.899645,18454.0
42.892959,1771692352.134393,18454.0
43.126630,1771692352.368063,18454.0
43.360194,1771692352.601628,18454.0
43.596215,1771692352.837649,18454.0
43.830436,1771692353.071869,18454.0
44.064395,1771692353.305829,18454.0
44.316400,1771692353.557834,18454.0
44.568993,1771692353.810426,18454.0
44.805435,1771692354.046869,18454.0
45.040689,1771692354.282123,18454.0
45.314216,1771692354.555650,18454.0
45.548789,1771692354.790223,18454.0
45.783773,1771692355.025207,18454.0
46.057916,1771692355.299350,18454.0
46.293010,1771692355.534444,18454.0
46.565222,1771692355.806656,18454.0
46.823801,1771692356.065235,18454.0
47.076455,1771692356.317889,18454.0
47.311915,1771692356.553349,18454.0
47.548564,1771692356.789998,18454.0
47.820126,1771692357.061560,18454.0
48.054658,1771692357.296092,18454.0
48.288492,1771692357.529926,18454.0
48.522523,1771692357.763957,18454.0
48.759136,1771692358.000570,18454.0
48.992324,1771692358.233758,18454.0
49.244709,1771692358.486143,18454.0
49.542634,1771692358.784068,18454.0
49.778395,1771692359.019829,18454.0
50.016209,1771692359.257643,18454.0
50.254805,1771692359.496239,18454.0
50.493258,1771692359.734692,18454.0
50.744276,1771692359.985710,18454.0
51.018697,1771692360.260130,18454.0
51.275526,1771692360.516959,18454.0
51.552663,1771692360.794097,18454.0
51.833287,1771692361.074721,18454.0
52.163449,1771692361.404883,18454.0
52.439834,1771692361.681267,18454.0
52.722934,1771692361.964368,18454.0
52.999542,1771692362.240976,18454.0
53.275990,1771692362.517423,18454.0
53.545850,1771692362.787284,18456.0
53.873255,1771692363.114689,18456.0
54.129708,1771692363.371141,18456.0
54.388402,1771692363.629836,18456.0
54.647938,1771692363.889372,18456.0
54.903401,1771692364.144835,18456.0
55.160422,1771692364.401856,18456.0
55.421794,1771692364.663228,18456.0
55.679723,1771692364.921156,18456.0
55.939264,1771692365.180697,18456.0
56.176287,1771692365.417721,18456.0
56.414379,1771692365.655813,18456.0
56.669791,1771692365.911225,18456.0
56.967950,1771692366.209384,18456.0
57.224574,1771692366.466008,18456.0
57.484245,1771692366.725679,18456.0
57.745718,1771692366.987152,18456.0
58.002848,1771692367.244282,18456.0
58.259132,1771692367.500566,18456.0
58.518674,1771692367.760108,18456.0
58.755049,1771692367.996483,18456.0
59.010651,1771692368.252085,18456.0
59.246932,1771692368.488366,18456.0
59.485538,1771692368.726972,18456.0
59.742557,1771692368.983990,18456.0
60.180224,1771692369.421658,18456.0
60.532735,1771692369.774168,18456.0
60.791076,1771692370.032510,18456.0
61.048357,1771692370.289790,18456.0
61.304496,1771692370.545929,18456.0
61.601264,1771692370.842697,18456.0
61.840403,1771692371.081836,18456.0
62.121017,1771692371.362450,18456.0
62.359030,1771692371.600464,18456.0
62.600497,1771692371.841931,18456.0
62.839465,1771692372.080899,18456.0
63.078406,1771692372.319840,18456.0
63.318413,1771692372.559847,18456.0
63.558379,1771692372.799813,18456.0
63.815826,1771692373.057260,18456.0
64.072716,1771692373.314150,18456.0
64.352832,1771692373.594266,18456.0
64.609292,1771692373.850726,18456.0
64.867480,1771692374.108914,18456.0
65.106666,1771692374.348099,18456.0
65.365004,1771692374.606438,18456.0
65.604946,1771692374.846380,18456.0
65.861685,1771692375.103119,18456.0
66.098769,1771692375.340203,18456.0
67.200863,1771692376.442297,18456.0
67.659801,1771692376.901235,18456.0
68.047211,1771692377.288645,18456.0
68.381953,1771692377.623387,18456.0
68.739418,1771692377.980851,18456.0
68.995904,1771692378.237338,18456.0
69.235412,1771692378.476846,18456.0
69.489715,1771692378.731149,18456.0
69.746447,1771692378.987881,18456.0
69.985487,1771692379.226920,18456.0
70.243590,1771692379.485024,18456.0
70.522784,1771692379.764218,18456.0
70.782826,1771692380.024260,18456.0
71.020528,1771692380.261962,18456.0
71.256035,1771692380.497469,18456.0
71.492426,1771692380.733860,18456.0
71.770286,1771692381.011720,18456.0
72.009096,1771692381.250530,18456.0
72.264920,1771692381.506354,18456.0
72.523708,1771692381.765142,18456.0
72.780698,1771692382.022132,18456.0
73.038303,1771692382.279737,18456.0
73.278187,1771692382.519621,18456.0
73.534708,1771692382.776142,18456.0
73.775032,1771692383.016466,18456.0
74.014606,1771692383.256040,18456.0
74.251830,1771692383.493264,18456.0
74.491168,1771692383.732602,18456.0
74.767689,1771692384.009123,18456.0
75.021867,1771692384.263301,18456.0
75.278748,1771692384.520182,18456.0
75.515892,1771692384.757326,18456.0
75.772747,1771692385.014181,18456.0
76.010594,1771692385.252028,18456.0
76.257399,1771692385.498833,18456.0
76.493552,1771692385.734986,18456.0
76.732366,1771692385.973800,18456.0
76.970020,1771692386.211453,18456.0
77.226017,1771692386.467451,18456.0
77.462578,1771692386.704011,18456.0
77.701632,1771692386.943066,18456.0
77.937698,1771692387.179132,18456.0
78.173781,1771692387.415215,18456.0
78.430184,1771692387.671618,18456.0
78.667963,1771692387.909397,18456.0
78.905629,1771692388.147063,18456.0
79.141452,1771692388.382886,18456.0
79.377567,1771692388.619001,18456.0
79.633861,1771692388.875295,18456.0
79.869598,1771692389.111032,18456.0
80.105770,1771692389.347204,18456.0
80.347539,1771692389.588973,18456.0
80.585087,1771692389.826521,18456.0
80.821575,1771692390.063009,18456.0
81.057648,1771692390.299082,18456.0
81.293756,1771692390.535189,18456.0
81.574081,1771692390.815515,18456.0
81.809795,1771692391.051229,18456.0
82.066451,1771692391.307885,18456.0
82.305085,1771692391.546519,18456.0
82.540743,1771692391.782176,18456.0
82.801695,1771692392.043129,18456.0
83.059027,1771692392.300461,18456.0
83.317068,1771692392.558502,18456.0
83.556273,1771692392.797707,18456.0
83.793777,1771692393.035211,18456.0
84.034012,1771692393.275446,18456.0
84.291367,1771692393.532801,18456.0
84.530595,1771692393.772029,18456.0
84.770084,1771692394.011518,18456.0
85.047446,1771692394.288879,18456.0
85.304986,1771692394.546419,18456.0
85.564758,1771692394.806192,18460.0
85.804400,1771692395.045834,18462.0
86.083397,1771692395.324831,18462.0
86.319350,1771692395.560784,18462.0
86.558606,1771692395.800040,18462.0
86.818996,1771692396.060430,18462.0
87.058304,1771692396.299738,18462.0
87.295363,1771692396.536797,18462.0
87.550896,1771692396.792330,18462.0
87.790484,1771692397.031918,18462.0
88.031748,1771692397.273182,18462.0
88.306139,1771692397.547573,18462.0
88.562356,1771692397.803789,18462.0
88.838647,1771692398.080081,18462.0
89.075925,1771692398.317359,18462.0
89.310608,1771692398.552042,18462.0
89.566819,1771692398.808253,18462.0
89.805968,1771692399.047402,18462.0
90.042079,1771692399.283513,18462.0
90.318843,1771692399.560277,18462.0
90.553978,1771692399.795412,18462.0
90.831480,1771692400.072914,18462.0
91.066907,1771692400.308341,18462.0
91.320678,1771692400.562112,18462.0
91.572151,1771692400.813585,18462.0
91.826190,1771692401.067624,18462.0
92.083397,1771692401.324831,18462.0
92.319590,1771692401.561024,18462.0
92.555438,1771692401.796872,18462.0
92.795018,1771692402.036452,18462.0
93.029003,1771692402.270437,18462.0
93.266735,1771692402.508169,18462.0
93.504351,1771692402.745785,18462.0
93.741804,1771692402.983238,18462.0
93.975527,1771692403.216961,18462.0
94.230132,1771692403.471566,18462.0
94.464144,1771692403.705578,18462.0
94.718083,1771692403.959517,18462.0
94.974596,1771692404.216029,18462.0
95.229897,1771692404.471331,18462.0
95.487823,1771692404.729257,18462.0
95.742928,1771692404.984361,18462.0
96.022173,1771692405.263607,18462.0
96.263313,1771692405.504747,18462.0
96.520665,1771692405.762099,18462.0
96.758347,1771692405.999781,18462.0
97.015054,1771692406.256487,18462.0
