phase,component,repeat,seconds,milliseconds
forward,full,0,0.0065612216,6.561222
forward,full,1,0.0065591242,6.559124
forward,full,2,0.0065889880,6.588988
forward,full,3,0.0066023469,6.602347
forward,full,4,0.0066065975,6.606597
forward,full,5,0.0066272710,6.627271
forward,full,6,0.0066537783,6.653778
forward,full,7,0.0066706203,6.670620
forward,full,8,0.0067376345,6.737635
forward,full,9,0.0067001339,6.700134
forward,full,10,0.0066917334,6.691733
forward,full,11,0.0066975486,6.697549
forward,full,12,0.0066853333,6.685333
forward,full,13,0.0066946838,6.694684
forward,full,14,0.0067067239,6.706724
forward,full,15,0.0066822805,6.682280
forward,full,16,0.0067229923,6.722992
forward,full,17,0.0067127272,6.712727
forward,full,18,0.0067323763,6.732376
forward,full,19,0.0067030657,6.703066
forward,full,20,0.0066904966,6.690497
forward,full,21,0.0067239571,6.723957
forward,full,22,0.0067907684,6.790768
forward,full,23,0.0066881478,6.688148
forward,full,24,0.0067570359,6.757036
forward,full,25,0.0067262258,6.726226
forward,full,26,0.0067534242,6.753424
forward,full,27,0.0066921897,6.692190
forward,full,28,0.0067303870,6.730387
forward,full,29,0.0067198873,6.719887
forward,full,30,0.0067030527,6.703053
forward,full,31,0.0066919029,6.691903
forward,full,32,0.0067007020,6.700702
forward,full,33,0.0063971430,6.397143
forward,full,34,0.0061617531,6.161753
forward,full,35,0.0061365403,6.136540
forward,full,36,0.0061316136,6.131614
forward,full,37,0.0061925631,6.192563
forward,full,38,0.0061206222,6.120622
forward,full,39,0.0061306674,6.130667
forward,slater,0,0.0005699154,0.569915
forward,slater,1,0.0003413279,0.341328
forward,slater,2,0.0002764203,0.276420
forward,slater,3,0.0005143918,0.514392
forward,slater,4,0.0004521254,0.452125
forward,slater,5,0.0005616173,0.561617
forward,slater,6,0.0005370826,0.537083
forward,slater,7,0.0004607420,0.460742
forward,slater,8,0.0004709270,0.470927
forward,slater,9,0.0004716907,0.471691
forward,slater,10,0.0003846083,0.384608
forward,slater,11,0.0005092304,0.509230
forward,slater,12,0.0005444232,0.544423
forward,slater,13,0.0005215406,0.521541
forward,slater,14,0.0004213154,0.421315
forward,slater,15,0.0005050711,0.505071
forward,slater,16,0.0004720725,0.472073
forward,slater,17,0.0004571397,0.457140
forward,slater,18,0.0003685001,0.368500
forward,slater,19,0.0002898574,0.289857
forward,slater,20,0.0004351810,0.435181
forward,slater,21,0.0005417634,0.541763
forward,slater,22,0.0004408900,0.440890
forward,slater,23,0.0005029999,0.503000
forward,slater,24,0.0004913211,0.491321
forward,slater,25,0.0004921574,0.492157
forward,slater,26,0.0004892331,0.489233
forward,slater,27,0.0003675111,0.367511
forward,slater,28,0.0002792720,0.279272
forward,slater,29,0.0004526060,0.452606
forward,slater,30,0.0005078558,0.507856
forward,slater,31,0.0005411878,0.541188
forward,slater,32,0.0006205030,0.620503
forward,slater,33,0.0006152000,0.615200
forward,slater,34,0.0006235112,0.623511
forward,slater,35,0.0006194301,0.619430
forward,slater,36,0.0005876981,0.587698
forward,slater,37,0.0004769098,0.476910
forward,slater,38,0.0004572738,0.457274
forward,slater,39,0.0005065165,0.506517
forward,boseformer,0,0.0064172745,6.417274
forward,boseformer,1,0.0064507071,6.450707
forward,boseformer,2,0.0064640921,6.464092
forward,boseformer,3,0.0065249279,6.524928
