orig_rank,delta,t_hh1,t_th2,t_hh3,t_tt1,ratio_nk11,trace_nk11,ratio_nk21,gap_nk21,bw_nk21,chern_nk21,q_nk21,trace_nk21,rank_by_ratio_nk21,rank_by_trace_nk21
1,5.426542963374432,0.4689334070165771,-0.0715147151587614,0.0373401871441721,-0.0377535889269079,0.0047615780913044,0.0019572064922579,0.004907933582907111,1.5136150075527341,0.0074287219271602645,-0.9999999999999988,1.0019572059718378,0.0019572059718390156,1,8
2,5.560182898829626,0.4641425270227112,-0.0783710191861276,0.0371919149313314,-0.0084365904598682,0.0094145282427305,0.0016562987187118,0.009486086146994463,1.4898702879626662,0.014133037899461298,-0.9999999999999977,1.0016562985958677,0.0016562985958700205,2,3
9,5.528129114003411,0.4462958043032565,-0.0453157956724738,0.0505633959669095,-0.1172782132390634,0.0096047496858212,0.0028472378480108,0.009654027748212429,1.4778916381350038,0.014267606883406447,-1.0000000000000013,1.002847239185896,0.00284723918589469,3,12
8,5.668937078267885,0.4613117867566974,-0.0676216244751514,0.0351922221971804,-0.0708871211706064,0.0104299345011187,0.0025412840506324,0.010722595066646705,1.4791272360385732,0.01586008240408998,-1.000000000000001,1.002541283963914,0.0025412839639129547,4,10
3,5.10938974796742,0.4582847625828835,-0.049004364849811,0.0539726641743919,-0.0950340127364868,0.0109505585354284,0.0018510900832579,0.011114297686678149,1.5529701906304334,0.01726017299720395,-0.9999999999999992,1.0018510924606678,0.001851092460668613,5,6
11,5.682119947874544,0.4455971035037022,-0.0514732846307059,0.0411644743322087,-0.1148860221948669,0.0111358059865873,0.0027535643640987,0.011197673612416264,1.4631559707049215,0.016383943004011803,-0.999999999999999,1.002753557136423,0.002753557136424001,6,11
4,5.409871377712984,0.4459845576330992,-0.056401625397894,0.0461872365058409,-0.0393191849812661,0.0118761931223438,0.0019446229020758,0.011909764474135647,1.4825958040586409,0.017657366836680177,-0.9999999999999989,1.0019446231574343,0.0019446231574353767,7,7
5,5.2353035821697205,0.456105833632373,-0.0540958821330392,0.0480346590616457,-0.0823211448387158,0.013550486346415,0.0016717387240801,0.013651249145618704,1.5333536710742397,0.020932192992183518,-1.0000000000000013,1.001671739058265,0.001671739058263677,8,4
7,5.6386099613037794,0.4239829998182278,-0.0526193461200272,0.05114068614807,-0.0483214583899922,0.013716128758543,0.001725628876108,0.013848492651416166,1.438521021597221,0.01992134779649679,-1.0000000000000002,1.0017256329571091,0.0017256329571089246,9,5
12,5.281449577324247,0.454849077854141,-0.0603654320184756,0.0440594607259342,-0.0149646029993562,0.0144147912196807,0.0020444952267169,0.01450809479008965,1.5017649218615154,0.021787747838798444,-1.0000000000000013,1.0020444935098254,0.0020444935098240524,10,9
6,5.823458992463459,0.425132217309653,-0.0649954731412275,0.0419751231611392,-0.0254588498321965,0.0154660625821071,0.0012421928348127,0.015629307198213552,1.4235714570329514,0.022249435620576463,-0.9999999999999991,1.0012421934118756,0.00124219341187648,11,1
10,5.6876620224747,0.4568695311571112,-0.0705879299134286,0.0419577568411064,-0.0872577856241717,0.0161814252872002,0.001505575183928,0.016255159186919596,1.49127897168268,0.024240977076807724,-1.0000000000000002,1.0015055752066162,0.0015055752066159833,12,2
